kunta,nimi,lat,lng
005,Alajärvi,62.962945,23.9
009,Alavieska,64.186653,24.334
010,Alavus,62.582378,23.595
016,Asikkala,61.21099,25.587
018,Askola,60.543072,25.612
019,Aura,60.643751,22.532
020,Akaa,61.15475,23.75
035,Brändö,60.452897,21.034
043,Eckerö,60.221044,19.583
046,Enonkoski,62.131037,28.875
047,Enontekiö,68.651665,22.87
049,Espoo,60.24448,24.663
050,Eura,61.086633,22.079
051,Eurajoki,61.272103,21.688
052,Evijärvi,63.387023,23.446
060,Finström,60.269542,19.911
061,Forssa,60.910756,23.633
062,Föglö,60.036345,20.474
065,Geta,60.377852,19.866
069,Haapajärvi,63.772535,25.368
071,Haapavesi,64.133969,25.358
072,Hailuoto,65.032097,24.777
074,Halsua,63.444944,24.289
075,Hamina,60.661556,27.245
076,Hammarland,60.232207,19.74
077,Hankasalmi,62.381755,26.453
078,Hanko,59.864483,23.11
079,Harjavalta,61.332403,22.155
081,Hartola,61.591019,26.05
082,Hattula,61.043901,24.293
086,Hausjärvi,60.786092,24.967
090,Heinävesi,62.434976,28.72
091,Helsinki,60.215758,25.016
092,Vantaa,60.31357,24.955
097,Hirvensalmi,61.694425,26.721
098,Hollola,61.00625,25.385
102,Huittinen,61.134673,22.723
103,Humppila,60.946655,23.357
105,Hyrynsalmi,64.649505,28.691
106,Hyvinkää,60.61091,24.827
108,Hämeenkyrö,61.623482,23.18
109,Hämeenlinna,61.074034,24.564
111,Heinola,61.258854,26.128
139,Ii,65.555051,25.63
140,Iisalmi,63.525457,27.151
142,Iitti,60.938049,26.281
143,Ikaalinen,61.824854,23.081
145,Ilmajoki,62.726077,22.545
146,Ilomantsi,62.83806,30.993
148,Inari,68.94228,27.235
149,Inkoo,60.063296,24.001
151,Isojoki,62.117102,21.904
152,Isokyrö,62.971927,22.344
153,Imatra,61.187088,28.841
165,Janakkala,60.887889,24.684
167,Joensuu,62.613543,30.324
169,Jokioinen,60.834557,23.457
170,Jomala,60.151537,19.906
171,Joroinen,62.172712,27.793
172,Joutsa,61.832804,26.19
176,Juuka,63.206217,29.183
177,Juupajoki,61.816172,24.477
178,Juva,61.838127,27.813
179,Jyväskylä,62.135455,25.645
181,Jämijärvi,61.841606,22.67
182,Jämsä,61.920332,25.056
186,Järvenpää,60.486882,25.104
202,Kaarina,60.421575,22.464
204,Kaavi,62.969621,28.74
205,Kajaani,64.136676,27.425
208,Kalajoki,64.16128,23.955
211,Kangasala,61.475286,24.324
213,Kangasniemi,62.032567,26.623
214,Kankaanpää,61.898749,22.335
216,Kannonkoski,62.967334,25.348
217,Kannus,63.934403,23.968
218,Karijoki,62.324538,21.75
224,Karkkila,60.556689,24.231
226,Karstula,62.88393,24.77
230,Karvia,62.151847,22.624
231,Kaskinen,62.389158,21.255
232,Kauhajoki,62.340353,22.259
233,Kauhava,63.195121,23.024
235,Kauniainen,60.214801,24.723
236,Kaustinen,63.584596,23.762
239,Keitele,63.193935,26.316
240,Kemi,65.723448,24.607
241,Keminmaa,65.873676,24.791
244,Kempele,64.897682,25.576
245,Kerava,60.400195,25.119
249,Keuruu,62.291057,24.539
250,Kihniö,62.203612,23.201
256,Kinnula,63.336171,25.024
257,Kirkkonummi,60.140459,24.458
260,Kitee,62.027233,29.922
261,Kittilä,67.813775,25.052
263,Kiuruvesi,63.678979,26.536
265,Kivijärvi,63.154847,25.058
271,Kokemäki,61.317192,22.396
272,Kokkola,63.801986,23.608
273,Kolari,67.254029,24.149
275,Konnevesi,62.656208,26.307
276,Kontiolahti,62.785164,29.877
280,Korsnäs,62.77165,21.229
284,Koski Tl,60.662825,23.129
285,Kotka,60.527194,26.923
286,Kouvola,60.939687,26.773
287,Kristiinankaupunki,62.188675,21.5
288,Kruunupyy,63.644213,23.334
290,Kuhmo,64.181025,29.671
291,Kuhmoinen,61.61308,25.185
295,Kumlinge,60.286785,20.79
297,Kuopio,62.990431,27.776
300,Kuortane,62.782683,23.512
301,Kurikka,62.547547,22.469
304,Kustavi,60.554121,21.349
305,Kuusamo,65.972353,29.272
309,Outokumpu,62.724379,28.96
312,Kyyjärvi,63.055855,24.556
316,Kärkölä,60.85648,25.274
317,Kärsämäki,63.959767,25.852
318,Kökar,59.933942,20.93
320,Kemijärvi,66.686672,27.36
322,Kemiönsaari,60.082963,22.597
398,Lahti,60.988271,25.858
399,Laihia,62.885489,22.024
400,Laitila,60.892997,21.781
402,Lapinlahti,63.374066,27.633
403,Lappajärvi,63.19229,23.596
405,Lappeenranta,60.980141,28.264
407,Lapinjärvi,60.636195,26.197
408,Lapua,62.942709,23.138
410,Laukaa,62.390329,26.011
416,Lemi,61.074277,27.796
417,Lemland,60.047421,20.133
418,Lempäälä,61.348343,23.772
420,Leppävirta,62.516963,27.92
421,Lestijärvi,63.499162,24.701
422,Lieksa,63.337265,30.187
423,Lieto,60.556507,22.586
425,Liminka,64.663605,25.68
426,Liperi,62.542955,29.38
430,Loimaa,60.901576,22.967
433,Loppi,60.688613,24.341
434,Loviisa,60.481661,26.164
435,Luhanka,61.779504,25.699
436,Lumijoki,64.836091,25.128
438,Lumparland,60.106273,20.259
440,Luoto,63.788568,22.758
441,Luumäki,60.93875,27.529
444,Lohja,60.359793,23.94
445,Parainen,60.211497,21.866
475,Maalahti,62.869161,21.508
478,Maarianhamina - Mariehamn,60.096991,19.944
480,Marttila,60.602911,22.938
481,Masku,60.553978,21.998
483,Merijärvi,64.314865,24.517
484,Merikarvia,61.895467,21.57
489,Miehikkälä,60.710379,27.666
491,Mikkeli,61.675941,27.308
494,Muhos,64.76169,26.141
495,Multia,62.475952,24.863
498,Muonio,67.856493,23.799
499,Mustasaari,63.160849,21.641
500,Muurame,62.140613,25.62
503,Mynämäki,60.740001,22.033
504,Myrskylä,60.640812,25.839
505,Mäntsälä,60.660892,25.278
507,Mäntyharju,61.344656,26.88
508,Mänttä-Vilppula,62.07938,24.405
529,Naantali,60.419032,21.865
531,Nakkila,61.359404,21.944
535,Nivala,63.928534,25.014
536,Nokia,61.452233,23.362
538,Nousiainen,60.65367,22.166
541,Nurmes,63.648298,29.09
543,Nurmijärvi,60.459584,24.752
545,Närpiö,62.577285,21.401
560,Orimattila,60.799517,25.814
561,Oripää,60.875427,22.682
562,Orivesi,61.668653,24.47
563,Oulainen,64.2507,24.874
564,Oulu,65.157626,25.959
576,Padasjoki,61.365532,25.199
577,Paimio,60.455142,22.726
578,Paltamo,64.42448,27.723
580,Parikkala,61.639397,29.634
581,Parkano,62.054978,22.986
583,Pelkosenniemi,67.142214,27.465
584,Perho,63.253469,24.465
592,Petäjävesi,62.282225,25.214
593,Pieksämäki,62.289618,27.202
595,Pielavesi,63.283699,26.683
598,Pietarsaari,63.667035,22.636
599,Pedersören kunta,63.539718,22.988
601,Pihtipudas,63.408234,25.58
604,Pirkkala,61.433591,23.606
607,Polvijärvi,62.894656,29.36
608,Pomarkku,61.70602,22.052
609,Pori,61.590742,22.006
611,Pornainen,60.481788,25.358
614,Posio,66.150264,28.04
615,Pudasjärvi,65.448145,27.129
616,Pukkila,60.650948,25.576
619,Punkalaidun,61.118401,23.134
620,Puolanka,64.854201,27.747
623,Puumala,61.511977,28.204
624,Pyhtää,60.513065,26.648
625,Pyhäjoki,64.427265,24.398
626,Pyhäjärvi,63.660138,25.919
630,Pyhäntä,64.07044,26.478
631,Pyhäranta,60.987034,21.479
635,Pälkäne,61.352291,24.524
636,Pöytyä,60.786483,22.551
638,Porvoo,60.366092,25.686
678,Raahe,64.522418,24.83
680,Raisio,60.489555,22.15
681,Rantasalmi,62.05974,28.285
683,Ranua,65.98149,26.616
684,Rauma,61.094318,21.678
686,Rautalampi,62.644501,26.71
687,Rautavaara,63.492168,28.402
689,Rautjärvi,61.374562,29.215
691,Reisjärvi,63.623425,24.973
694,Riihimäki,60.714494,24.742
697,Ristijärvi,64.485874,28.431
698,Rovaniemi,66.639903,25.834
700,Ruokolahti,61.380263,28.76
702,Ruovesi,61.964994,24.057
704,Rusko,60.601873,22.289
707,Rääkkylä,62.296391,29.67
710,Raasepori,60.046262,23.431
729,Saarijärvi,62.700166,25.128
732,Salla,66.994734,28.908
734,Salo,60.352508,23.263
736,Saltvik,60.314965,20.06
738,Sauvo,60.314924,22.686
739,Savitaipale,61.185501,27.567
740,Savonlinna,61.912375,29.091
742,Savukoski,67.632177,28.53
743,Seinäjoki,62.741434,22.906
746,Sievi,63.845729,24.59
747,Siikainen,61.869326,21.888
748,Siikajoki,64.656261,25.055
749,Siilinjärvi,63.083176,27.657
751,Simo,65.84916,25.376
753,Sipoo,60.351739,25.291
755,Siuntio,60.174841,24.209
758,Sodankylä,67.787684,26.917
759,Soini,62.841892,24.232
761,Somero,60.6138,23.551
762,Sonkajärvi,63.73616,27.66
765,Sotkamo,64.048491,28.436
766,Sottunga,60.123922,20.676
768,Sulkava,61.74833,28.418
771,Sund,60.241423,20.165
777,Suomussalmi,65.044828,29.121
778,Suonenjoki,62.622982,27.154
781,Sysmä,61.501417,25.72
783,Säkylä,61.063677,22.391
785,Vaala,64.519054,26.902
790,Sastamala,61.413507,22.882
791,Siikalatva,64.320273,25.986
831,Taipalsaari,61.231852,28.092
832,Taivalkoski,65.559061,28.35
833,Taivassalo,60.576481,21.599
834,Tammela,60.785083,23.834
837,Tampere,61.6237,23.889
844,Tervo,62.969103,26.815
845,Tervola,66.131078,25.08
846,Teuva,62.509092,21.798
848,Tohmajärvi,62.255338,30.38
849,Toholampi,63.736412,24.301
850,Toivakka,62.106497,26.077
851,Tornio,66.056224,24.286
853,Turku,60.482988,22.285
854,Pello,66.777892,24.302
857,Tuusniemi,62.777653,28.479
858,Tuusula,60.450326,24.999
859,Tyrnävä,64.726832,25.764
886,Ulvila,61.482209,22.115
887,Urjala,61.083241,23.494
889,Utajärvi,64.862655,26.827
890,Utsjoki,69.66111,26.953
892,Uurainen,62.471249,25.404
893,Uusikaarlepyy,63.450645,22.572
895,Uusikaupunki,60.800922,21.451
905,Vaasa,63.066291,21.821
908,Valkeakoski,61.218136,24.059
915,Varkaus,62.279787,28.239
918,Vehmaa,60.682946,21.674
921,Vesanto,62.895503,26.388
922,Vesilahti,61.285676,23.487
924,Veteli,63.398419,23.918
925,Vieremä,63.839781,26.997
927,Vihti,60.406662,24.399
931,Viitasaari,63.100788,25.825
934,Vimpeli,63.1751,23.94
935,Virolahti,60.568032,27.6
936,Virrat,62.272175,23.701
941,Vårdö,60.285534,20.382
946,Vöyri,63.215141,22.303
976,Ylitornio,66.448411,24.386
977,Ylivieska,64.065868,24.645
980,Ylöjärvi,61.837994,23.564
981,Ypäjä,60.801032,23.27
989,Ähtäri,62.573118,24.197
992,Äänekoski,62.702983,25.826
